Date,Area,Location,CommonName,SpeciesName,Fate,Reason for euthanasia,Marine Park,Latitude,Longitude
15/11/2017,Gladstone,Tannum Sands,AUSTRALIAN BLACKTIP,,Dead,,,-23.934896,151.372016
19/12/2017,Capricorn Coast,Emu Park,AUSTRALIAN BLACKTIP,,Dead,,,-23.253217,150.834883
19/4/2018,Gladstone,Tannum Sands,AUSTRALIAN BLACKTIP,,Dead,,,-23.93955,151.37375
22/4/2018,Gladstone,Tannum Sands,AUSTRALIAN BLACKTIP,,Dead,,,-23.94595,151.380367
26/4/2018,Gladstone,Tannum Sands,AUSTRALIAN BLACKTIP,,Dead,,,-23.9419,151.37605
9/5/2018,Gladstone,Tannum Sands,AUSTRALIAN BLACKTIP,,Dead,,,-23.944733,151.379367
18/8/2017,Gladstone,Tannum Sands,BLACKTIP REEF WHALER,,Dead,,,-23.943844,151.379388
9/9/2017,Gladstone,Tannum Sands,BLACKTIP REEF WHALER,,Dead,,,-23.9427,151.378044
18/9/2017,Gladstone,Tannum Sands,BLACKTIP REEF WHALER,,Dead,,,-23.941092,151.376905
2/12/2017,Mackay,Blacks Beach,BLACKTIP REEF WHALER,,Dead,,,-21.04475,149.191867
4/12/2017,Cairns,Ellis Beach,BLACKTIP REEF WHALER,,Dead,,,-16.7202,145.664283
14/2/2018,Cairns,Ellis Beach,BLACKTIP REEF WHALER,,Dead,,,-16.720072,145.649193
3/3/2018,Gladstone,Tannum Sands,BLACKTIP REEF WHALER,,Dead,,,-23.942617,151.37705
3/5/2018,Townsville,Nelly Bay,BLACKTIP REEF WHALER,,Dead,,,-19.166017,146.85455
14/6/2018,Townsville,Horseshoe Bay,BLACKTIP REEF WHALER,,Dead,,,-19.111217,146.842483
16/6/2018,Townsville,Alma Bay,BLACKTIP REEF WHALER,,Dead,,,-19.148717,146.87355
13/1/2018,Gladstone,Tannum Sands,UNKNOWN WHALER,,Dead,,,-23.946186,151.381714
13/1/2018,Gladstone,Tannum Sands,UNKNOWN WHALER,,Released Alive,,,-23.945453,151.381073
13/1/2018,Gladstone,Tannum Sands,UNKNOWN WHALER,,Dead,,,-23.943819,151.379665
13/1/2018,Gladstone,Tannum Sands,UNKNOWN WHALER,,Released Alive,,,-23.944561,151.380401
13/1/2018,Gladstone,Tannum Sands,UNKNOWN WHALER,,Dead,,,-23.943147,151.379114
6/7/2017,Townsville,Horseshoe Bay,BULL WHALER,,Dead,,,-19.113333,146.846583
11/7/2017,Townsville,Florence Bay,BULL WHALER,,Dead,,,-19.1217,146.885333
15/7/2017,Capricorn Coast,Farnborough Beach,BULL WHALER,,Dead,,,-23.121867,150.753867
24/7/2017,Gladstone,Tannum Sands,BULL WHALER,,Dead,,,-23.940633,151.376867
19/8/2017,Gladstone,Tannum Sands,BULL WHALER,,Dead,,,-23.935988,151.373368
6/9/2017,Mackay,Bucasia Beach,BULL WHALER,,Dead,,,-21.020983,149.161317
20/9/2017,Mackay,Eimeo Beach,BULL WHALER,,Dead,,,-21.031,149.1822
3/10/2017,Capricorn Coast,Tanby Point,BULL WHALER,,Dead,,,-23.231033,150.825167
5/10/2017,Capricorn Coast,Emu Park,BULL WHALER,,Dead,,,-23.248,150.831517
16/10/2017,Townsville,Florence Bay,BULL WHALER,,Dead,,,-19.1241,146.885283
21/10/2017,Capricorn Coast,Fishermans Beach,BULL WHALER,,Dead,,,-23.2441,150.8277
21/10/2017,Townsville,Picnic Bay,BULL WHALER,,Dead,,,-19.182933,146.84455
21/10/2017,Townsville,Florence Bay,BULL WHALER,,Dead,,,-19.12505,146.8852
7/11/2017,Capricorn Coast,Fishermans Beach,BULL WHALER,,Dead,,,-23.245183,150.827717
14/11/2017,Townsville,Radical Bay,BULL WHALER,,Euthanised,,,-19.108617,146.877167
16/11/2017,Gladstone,Tannum Sands,BULL WHALER,,Dead,,,-23.939519,151.375992
18/11/2017,Townsville,Horseshoe Bay,BULL WHALER,,Dead,,,-19.102217,146.85995
20/11/2017,Gladstone,Tannum Sands,BULL WHALER,,Dead,,,-23.938836,151.375905
9/12/2017,Capricorn Coast,Emu Park,BULL WHALER,,Dead,,,-23.2621,150.832383
14/12/2017,Gladstone,Tannum Sands,BULL WHALER,,Dead,,,-23.563,151.224
18/12/2017,Capricorn Coast,Fishermans Beach,BULL WHALER,,Dead,,,-23.2441,150.8277
25/12/2017,Mackay,Eimeo Beach,BULL WHALER,,Dead,,,-21.030767,149.180683
20/1/2018,Townsville,Horseshoe Bay,BULL WHALER,,Dead,,,-19.111217,146.842483
27/1/2018,Capricorn Coast,Yeppoon Beach,BULL WHALER,,Dead,,,-23.126133,150.753833
9/2/2018,Capricorn Coast,Tanby Point,BULL WHALER,,Dead,,,-23.228367,150.8245
9/2/2018,Capricorn Coast,Fishermans Beach,BULL WHALER,,Dead,,,-23.246783,150.827717
10/2/2018,Capricorn Coast,Emu Park,BULL WHALER,,Dead,,,-23.253217,150.834883
10/2/2018,Capricorn Coast,Fishermans Beach,BULL WHALER,,Dead,,,-23.246783,150.827717
14/2/2018,Capricorn Coast,Tanby Point,BULL WHALER,,Dead,,,-23.22965,150.824917
26/2/2018,Capricorn Coast,Fishermans Beach,BULL WHALER,,Dead,,,-23.246083,150.827767
12/3/2018,Capricorn Coast,Lammermoor Beach,BULL WHALER,,Euthanised,,,-23.159767,150.776333
13/3/2018,Townsville,Alma Bay,BULL WHALER,,Dead,,,-19.148717,146.87355
17/3/2018,Townsville,Horseshoe Bay,BULL WHALER,,Dead,,,-19.1037,146.85955
20/3/2018,Capricorn Coast,Farnborough Beach,BULL WHALER,,Dead,,,-23.121867,150.753867
22/3/2018,Townsville,Palarenda Beach,BULL WHALER,,Dead,,,-19.198683,146.7776
10/4/2018,Townsville,Horseshoe Bay,BULL WHALER,,Dead,,,-19.1037,146.85955
19/4/2018,Capricorn Coast,Yeppoon Beach,BULL WHALER,,Dead,,,-23.1275,150.75375
15/5/2018,Capricorn Coast,Fishermans Beach,BULL WHALER,,Dead,,,-23.246083,150.827767
19/5/2018,Capricorn Coast,Mullambin Beach,BULL WHALER,,Dead,,,-23.189083,150.799333
19/5/2018,Capricorn Coast,Kemp Beach,BULL WHALER,,Dead,,,-23.171283,150.7946
21/5/2018,Townsville,Florence Bay,BULL WHALER,,Dead,,,-19.1241,146.885283
16/8/2017,Townsville,Picnic Bay,CATFISH,,Dead,,,-19.182483,146.843783
22/5/2018,Townsville,Horseshoe Bay,COD,,Released Alive,,,-19.114017,146.848417
1/7/2017,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,,Dead,,,-23.940152,151.376869
15/7/2017,Townsville,Florence Bay,COMMON BLACKTIP WHALER,,Dead,,,-19.1241,146.885283
21/8/2017,Townsville,Alma Bay,COMMON BLACKTIP WHALER,,Dead,,,-19.150333,146.8739
19/9/2017,Townsville,Nelly Bay,COMMON BLACKTIP WHALER,,Dead,,,-19.16765,146.853567
6/10/2017,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,,Dead,,,-23.934935,151.372105
10/10/2017,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,,Dead,,,-23.934875,151.372075
3/11/2017,Cairns,Buchans  ,COMMON BLACKTIP WHALER,,Dead,,,-16.727,145.664
25/11/2017,Townsville,Florence Bay,COMMON BLACKTIP WHALER,,Dead,,,-19.123283,146.885317
1/1/2018,Townsville,Picnic Bay,COMMON BLACKTIP WHALER,,Dead,,,-19.182933,146.84455
24/1/2018,Cairns,Trinity,COMMON BLACKTIP WHALER,,Dead,,,-16.777682,145.70145
14/2/2018,Cairns,Yorkeys,COMMON BLACKTIP WHALER,,Dead,,,-16.805946,145.730753
14/2/2018,Cairns,Trinity,COMMON BLACKTIP WHALER,,Dead,,,-16.777614,145.701519
14/2/2018,Cairns,Holloways,COMMON BLACKTIP WHALER,,Dead,,,-16.832453,145.748848
17/4/2018,Townsville,The Strand,COMMON BLACKTIP WHALER,,Dead,,,-19.242017,146.814283
17/4/2018,Townsville,Palarenda Beach,COMMON BLACKTIP WHALER,,Dead,,,-19.197583,146.777383
25/4/2018,Townsville,The Strand,COMMON BLACKTIP WHALER,,Dead,,,-19.239383,146.811433
28/4/2018,Cairns,Clifton,COMMON BLACKTIP WHALER,,Dead,,,-16.760465,145.683005
15/2/2018,Townsville,The Strand,GIANT TREVALLY,,Dead,,,-19.245033,146.81735
25/4/2018,Townsville,The Strand,GIANT TREVALLY,,Dead,,,-19.245033,146.81735
22/9/2017,Townsville,The Strand,GRACEFUL WHALER,,Dead,,,-19.240683,146.812833
6/11/2017,Townsville,Radical Bay,GRACEFUL WHALER,,Dead,,,-19.108617,146.877167
18/9/2017,Townsville,Alma Bay,GREAT HAMMERHEAD,,Dead,,,-19.147533,146.873717
3/1/2018,Townsville,Nelly Bay,GREAT HAMMERHEAD,,Dead,,,-19.176883,146.848767
17/2/2018,Cairns,Trinity,GREAT HAMMERHEAD,,Dead,,,-16.778986,145.702366
7/6/2018,Townsville,Horseshoe Bay,GREAT HAMMERHEAD,,Dead,,,-19.114733,146.850183
16/10/2017,Townsville,The Strand,GREEN TURTLE,,Dead,,,-19.238217,146.810317
10/2/2018,Capricorn Coast,Emu Park,GREEN TURTLE,,Released Alive,,,-23.2621,150.832383
16/12/2017,Capricorn Coast,Yeppoon Beach,JEWFISH,,Dead,,,-23.1275,150.75375
7/10/2017,Townsville,Nelly Bay,LONG NOSE WHALER,,Dead,,,-19.177867,146.84955
14/11/2017,Townsville,Horseshoe Bay,LONG NOSE WHALER,,Dead,,,-19.103,146.859767
5/4/2018,Townsville,Alma Bay,LONG NOSE WHALER,,Dead,,,-19.151883,146.8744
23/10/2017,Townsville,Horseshoe Bay,MILK SHARK,,Dead,,,-19.102217,146.85995
14/11/2017,Townsville,Horseshoe Bay,MILK SHARK,,Dead,,,-19.103,146.859767
14/7/2017,Cairns,Buchans  ,PIGEYE WHALER,,Dead,,,-16.725557,145.663131
5/9/2017,Townsville,Horseshoe Bay,PIGEYE WHALER,,Dead,,,-19.10445,146.85945
24/10/2017,Townsville,Radical Bay,PIGEYE WHALER,,Dead,,,-19.107967,146.8759
30/10/2017,Gladstone,Tannum Sands,PIGEYE WHALER,,Euthanised,,,-23.944811,151.379988
21/11/2017,Cairns,Holloways,PIGEYE WHALER,,Dead,,,-16.8307,145.7477
10/2/2018,Cairns,Yorkeys,PIGEYE WHALER,,Euthanised,,,-16.806576,145.731316
5/10/2017,Mackay,Eimeo Beach,RAY,,Dead,,,-21.030767,149.180683
6/1/2018,Townsville,Horseshoe Bay,RETICULATE WHIPRAY,,Released Alive,,,-19.115467,146.852767
28/9/2017,Gladstone,Tannum Sands,SANDBAR WHALER,,Euthanised,,,-23.945282,151.379668
18/3/2018,Gladstone,Tannum Sands,SANDBAR WHALER,,Dead,,,-23.94525,151.379917
12/6/2018,Townsville,Nelly Bay,SCALLOPED HAMMERHEAD,,Dead,,,-19.175383,146.849517
30/11/2017,Townsville,Palarenda Beach,SHARK RAY,,Released Alive,,,-19.197583,146.777383
29/11/2017,Townsville,Horseshoe Bay,SHARPTOOTH SHARK,,Dead,,,-19.1126,146.845033
12/12/2017,Cairns,Palm Cove,SHARPTOOTH SHARK,,Dead,,,-16.745,145.6752
12/6/2018,Mackay,Eimeo Beach,SHOVELNOSED RAY *,,Released Alive,,,-21.030767,149.180683
5/8/2017,Cairns,Clifton,SLIT EYE SHARK,,Dead,,,-16.760352,145.682935
1/7/2017,Townsville,Nelly Bay,SPOT-TAIL WHALER,,Dead,,,-19.177867,146.84955
5/8/2017,Townsville,Radical Bay,SPOT-TAIL WHALER,,Dead,,,-19.107617,146.875233
24/8/2017,Townsville,Florence Bay,SPOT-TAIL WHALER,,Dead,,,-19.122517,146.885317
5/9/2017,Townsville,Picnic Bay,SPOT-TAIL WHALER,,Dead,,,-19.182483,146.843783
26/10/2017,Townsville,Florence Bay,SPOT-TAIL WHALER,,Dead,,,-19.1217,146.885333
1/11/2017,Cairns,Holloways,SPOT-TAIL WHALER,,Dead,,,-16.8316,145.748
22/11/2017,Cairns,Buchans  ,SPOT-TAIL WHALER,,Dead,,,-16.7263,145.6635
30/11/2017,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,,Dead,,,-19.115233,146.851633
4/12/2017,Townsville,Alma Bay,SPOT-TAIL WHALER,,Dead,,,-19.151883,146.8744
13/12/2017,Townsville,Florence Bay,SPOT-TAIL WHALER,,Dead,,,-19.12505,146.8852
15/12/2017,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,,Dead,,,-19.10445,146.85945
15/12/2017,Townsville,Alma Bay,SPOT-TAIL WHALER,,Dead,,,-19.14955,146.87355
23/12/2017,Townsville,Alma Bay,SPOT-TAIL WHALER,,Dead,,,-19.14955,146.87355
28/12/2017,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,,Dead,,,-19.10445,146.85945
30/12/2017,Townsville,Florence Bay,SPOT-TAIL WHALER,,Dead,,,-19.12505,146.8852
20/1/2018,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,,Dead,,,-19.11555,146.854267
20/1/2018,Townsville,Nelly Bay,SPOT-TAIL WHALER,,Dead,,,-19.177867,146.84955
26/1/2018,Townsville,Radical Bay,SPOT-TAIL WHALER,,Dead,,,-19.108617,146.877167
26/1/2018,Townsville,The Strand,SPOT-TAIL WHALER,,Dead,,,-19.240683,146.812833
1/2/2018,Townsville,Florence Bay,SPOT-TAIL WHALER,,Dead,,,-19.1241,146.885283
3/2/2018,Townsville,Radical Bay,SPOT-TAIL WHALER,,Dead,,,-19.108267,146.876567
12/2/2018,Townsville,Florence Bay,SPOT-TAIL WHALER,,Dead,,,-19.122517,146.885317
17/2/2018,Townsville,Palarenda Beach,SPOT-TAIL WHALER,,Dead,,,-19.197583,146.777383
5/3/2018,Townsville,The Strand,SPOT-TAIL WHALER,,Dead,,,-19.245033,146.81735
12/3/2018,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,,Dead,,,-19.114017,146.848417
17/3/2018,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,,Dead,,,-19.103,146.859767
24/3/2018,Townsville,The Strand,SPOT-TAIL WHALER,,Dead,,,-19.238217,146.810317
29/3/2018,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,,Dead,,,-19.1037,146.85955
19/4/2018,Townsville,Horseshoe Bay,SPOT-TAIL WHALER,,Dead,,,-19.111217,146.842483
7/10/2017,Cairns,Trinity,TAWNY SHARK,,Released Alive,,,-16.774691,145.699945
20/11/2017,Townsville,Alma Bay,TAWNY SHARK,,Released Alive,,,-19.147533,146.873717
11/12/2017,Cairns,Clifton,TAWNY SHARK,,Released Alive,,,-16.7593,145.6816
13/1/2018,Cairns,Palm Cove,TAWNY SHARK,,Released Alive,,,-16.744726,145.675259
15/1/2018,Townsville,Picnic Bay,TAWNY SHARK,,Dead,,,-19.182933,146.84455
22/2/2018,Townsville,Florence Bay,TAWNY SHARK,,Released Alive,,,-19.122517,146.885317
3/3/2018,Cairns,Palm Cove,TAWNY SHARK,,Released Alive,,,-16.742433,145.674957
9/3/2018,Cairns,Palm Cove,TAWNY SHARK,,Released Alive,,,-16.747169,145.675615
14/4/2018,Cairns,Trinity,TAWNY SHARK,,Released Alive,,,-16.777586,145.70152
3/5/2018,Townsville,Florence Bay,TAWNY SHARK,,Released Alive,,,-19.122517,146.885317
21/5/2018,Townsville,Picnic Bay,TAWNY SHARK,,Dead,,,-19.182933,146.84455
3/7/2017,Townsville,Radical Bay,TIGER SHARK,,Dead,,,-19.107617,146.875233
6/7/2017,Townsville,Horseshoe Bay,TIGER SHARK,,Dead,,,-19.1037,146.85955
6/7/2017,Townsville,Horseshoe Bay,TIGER SHARK,,Euthanised,,,-19.10445,146.85945
15/7/2017,Cairns,Ellis Beach,TIGER SHARK,,Dead,,,-16.719437,145.648325
22/7/2017,Mackay,Blacks Beach,TIGER SHARK,,Dead,,,-21.044383,149.191517
22/7/2017,Cairns,Palm Cove,TIGER SHARK,,Euthanised,,,-16.742185,145.674908
22/7/2017,Cairns,Ellis Beach,TIGER SHARK,,Euthanised,,,-16.719582,145.648407
1/8/2017,Townsville,Alma Bay,TIGER SHARK,,Euthanised,,,-19.148717,146.87355
1/8/2017,Townsville,Horseshoe Bay,TIGER SHARK,,Euthanised,,,-19.1037,146.85955
9/8/2017,Mackay,Blacks Beach,TIGER SHARK,,Dead,,,-21.046383,149.192867
12/8/2017,Townsville,Alma Bay,TIGER SHARK,,Euthanised,,,-19.151017,146.874233
18/8/2017,Mackay,Bucasia Beach,TIGER SHARK,,Euthanised,,,-21.02585,149.167283
26/8/2017,Townsville,Horseshoe Bay,TIGER SHARK,,Euthanised,,,-19.114733,146.850183
30/8/2017,Gladstone,Tannum Sands,TIGER SHARK,,Dead,,,-23.93703,151.373084
12/9/2017,Capricorn Coast,Emu Park,TIGER SHARK,,Dead,,,-23.2621,150.832383
20/9/2017,Cairns,Ellis Beach,TIGER SHARK,,Dead,,,-16.720923,145.649705
27/9/2017,Mackay,Eimeo Beach,TIGER SHARK,,Dead,,,-21.030767,149.180683
28/9/2017,Gladstone,Tannum Sands,TIGER SHARK,,Euthanised,,,-23.935019,151.374042
28/9/2017,Gladstone,Tannum Sands,TIGER SHARK,,Euthanised,,,-23.945797,151.384635
6/10/2017,Townsville,Radical Bay,TIGER SHARK,,Dead,,,-19.108617,146.877167
12/10/2017,Capricorn Coast,Emu Park,TIGER SHARK,,Euthanised,,,-23.2646,150.831917
18/10/2017,Cairns,Ellis Beach,TIGER SHARK,,Dead,,,-16.7233,145.6519
21/10/2017,Cairns,Ellis Beach,TIGER SHARK,,Euthanised,,,-16.7233,145.6519
23/10/2017,Townsville,Florence Bay,TIGER SHARK,,Euthanised,,,-19.1217,146.885333
23/10/2017,Townsville,Florence Bay,TIGER SHARK,,Dead,,,-19.1217,146.885333
28/10/2017,Townsville,Alma Bay,TIGER SHARK,,Dead,,,-19.147533,146.873717
28/10/2017,Townsville,Palarenda Beach,TIGER SHARK,,Euthanised,,,-19.197583,146.777383
25/11/2017,Townsville,Radical Bay,TIGER SHARK,,Dead,,,-19.107967,146.8759
25/11/2017,Townsville,Florence Bay,TIGER SHARK,,Euthanised,,,-19.1241,146.885283
4/12/2017,Cairns,Yorkeys,TIGER SHARK,,Dead,,,-16.8054,145.7301
8/12/2017,Cairns,Ellis Beach,TIGER SHARK,,Dead,,,-16.7225,145.6506
15/12/2017,Townsville,Alma Bay,TIGER SHARK,,Dead,,,-19.151017,146.874233
19/12/2017,Cairns,Ellis Beach,TIGER SHARK,,Dead,,,-16.719446,145.648498
23/12/2017,Townsville,Florence Bay,TIGER SHARK,,Dead,,,-19.123283,146.885317
23/12/2017,Townsville,The Strand,TIGER SHARK,,Euthanised,,,-19.2435,146.815783
30/12/2017,Cairns,Buchans  ,TIGER SHARK,,Dead,,,-16.726117,145.663608
6/1/2018,Townsville,Florence Bay,TIGER SHARK,,Dead,,,-19.122517,146.885317
8/1/2018,Capricorn Coast,Farnborough Beach,TIGER SHARK,,Euthanised,,,-23.113033,150.754883
23/1/2018,Townsville,Horseshoe Bay,TIGER SHARK,,Dead,,,-19.115233,146.851633
27/1/2018,Townsville,Radical Bay,TIGER SHARK,,Dead,,,-19.107967,146.8759
31/1/2018,Cairns,Buchans  ,TIGER SHARK,,Dead,,,-16.726188,145.663616
1/2/2018,Capricorn Coast,Tanby Point,TIGER SHARK,,Euthanised,,,-23.22965,150.824917
10/2/2018,Townsville,The Strand,TIGER SHARK,,Euthanised,,,-19.238217,146.810317
14/2/2018,Cairns,Buchans  ,TIGER SHARK,,Dead,,,-16.72626,145.663582
17/2/2018,Townsville,Florence Bay,TIGER SHARK,,Euthanised,,,-19.123283,146.885317
17/2/2018,Townsville,Palarenda Beach,TIGER SHARK,,Dead,,,-19.197583,146.777383
17/2/2018,Cairns,Trinity,TIGER SHARK,,Euthanised,,,-16.777444,145.701485
21/2/2018,Cairns,Trinity,TIGER SHARK,,Euthanised,,,-16.778335,145.701713
24/2/2018,Townsville,Radical Bay,TIGER SHARK,,Dead,,,-19.107617,146.875233
3/3/2018,Cairns,Ellis Beach,TIGER SHARK,,Dead,,,-16.720132,145.649221
3/3/2018,Cairns,Trinity,TIGER SHARK,,Euthanised,,,-16.778291,145.701792
3/3/2018,Cairns,Buchans  ,TIGER SHARK,,Dead,,,-16.725469,145.662678
22/3/2018,Townsville,Horseshoe Bay,TIGER SHARK,,Dead,,,-19.103,146.859767
1/4/2018,Townsville,Nelly Bay,TIGER SHARK,,Euthanised,,,-19.170983,146.851683
17/4/2018,Townsville,Florence Bay,TIGER SHARK,,Euthanised,,,-19.122517,146.885317
20/4/2018,Cairns,Palm Cove,TIGER SHARK,,Euthanised,,,-16.748056,145.676028
20/4/2018,Cairns,Ellis Beach,TIGER SHARK,,Dead,,,-16.719389,145.648511
28/4/2018,Townsville,Alma Bay,TIGER SHARK,,Dead,,,-19.151883,146.8744
4/5/2018,Gladstone,Tannum Sands,TIGER SHARK,,Dead,,,-23.9419,151.37605
15/5/2018,Townsville,Florence Bay,TIGER SHARK,,Euthanised,,,-19.123283,146.885317
23/5/2018,CP F,Tannum Sands,TIGER SHARK,,Euthanised,,,-23.94095,151.3755
2/6/2018,Townsville,Horseshoe Bay,TIGER SHARK,,Euthanised,,,-19.10445,146.85945
2/6/2018,Townsville,Nelly Bay,TIGER SHARK,,Euthanised,,,-19.177867,146.84955
2/6/2018,Townsville,Horseshoe Bay,TIGER SHARK,,Dead,,,-19.113333,146.846583
5/6/2018,Townsville,Horseshoe Bay,TIGER SHARK,,Euthanised,,,-19.10445,146.85945
6/6/2018,Capricorn Coast,Fishermans Beach,TIGER SHARK,,Euthanised,,,-23.243017,150.827867
6/6/2018,Cairns,Holloways,TIGER SHARK,,Euthanised,,,-16.829946,145.747532
6/6/2018,Cairns,Ellis Beach,TIGER SHARK,,Euthanised,,,-16.720127,145.649568
6/6/2018,Cairns,Clifton,TIGER SHARK,,Euthanised,,,-16.758028,145.681613
7/6/2018,Townsville,Florence Bay,TIGER SHARK,,Euthanised,,,-19.1241,146.885283
9/6/2018,Cairns,Holloways,TIGER SHARK,,Dead,,,-16.829085,145.747098
10/6/2018,Gladstone,Tannum Sands,TIGER SHARK,,Dead,,,-23.937883,151.37195
18/6/2018,Townsville,Horseshoe Bay,TIGER SHARK,,Euthanised,,,-19.102217,146.85995
20/6/2018,Mackay,Eimeo Beach,TIGER SHARK,,Dead,,,-21.030867,149.181633
23/6/2018,Townsville,Horseshoe Bay,TIGER SHARK,,Dead,,,-19.102217,146.85995
12/6/2018,Townsville,The Strand,WHITE-SPOTTED GUITAR,,Dead,,,-19.248633,146.821117
31/10/2017,Gladstone,Tannum Sands,WOBBEGONG *,,Released alive,,,-23.937123,151.373969
31/10/2017,Gladstone,Tannum Sands,WOBBEGONG *,,Dead,,,-23.933908,151.371453
7/9/2018,Capricorn Coast,Emu Park,Australian Sharpnose Shark,Rhizoprionodon taylori,Deceased,,,,
12/9/2018,Capricorn Coast,Mullambin Beach,Australian Sharpnose Shark,Rhizoprionodon taylori,Deceased,,,,
22/9/2018,Capricorn Coast,Emu Park,Australian Sharpnose Shark,Rhizoprionodon taylori,Deceased,,,,
11/12/2018,Capricorn Coast,Tanby Point,Australian Sharpnose Shark,Rhizoprionodon taylori,Deceased,,,,
26/1/2019,Capricorn Coast,Kemp Beach,Australian Sharpnose Shark,Rhizoprionodon taylori,Deceased,,,,
26/1/2019,Capricorn Coast,Mullambin Beach,Australian Sharpnose Shark,Rhizoprionodon taylori,Deceased,,,,
9/2/2019,Capricorn Coast,Mullambin Beach,Australian Sharpnose Shark,Rhizoprionodon taylori,Deceased,,,,
19/9/2018,Mackay,Bucasia Beach,Blacktip Reef Shark,Carcharhinus melanopterus,Released alive,,,,
11/10/2018,Townsville,Alma Bay,Blacktip Reef Shark,Carcharhinus melanopterus,Deceased,,,,
13/11/2018,Townsville,Picnic Bay,Blacktip Reef Shark,Carcharhinus melanopterus,Deceased,,,,
13/11/2018,Townsville,Nelly Bay,Blacktip Reef Shark,Carcharhinus melanopterus,Deceased,,,,
15/6/2019,Townsville,Radical Bay,Blacktip Reef Shark,Carcharhinus melanopterus,Deceased,,,,
19/9/2018,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Euthanised,,,,
19/9/2018,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Euthanised,,,,
26/10/2018,Capricorn Coast,Tanby Point,Bull Shark,Carcharhinus leucas,Euthanised,,,,
29/10/2018,Capricorn Coast,Tanby Point,Bull Shark,Carcharhinus leucas,Euthanised,,,,
7/11/2018,Capricorn Coast,Farnborough Beach,Bull Shark,Carcharhinus leucas,Euthanised,,,,
7/11/2018,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Euthanised,,,,
16/11/2018,Capricorn Coast,Mullambin Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
21/11/2018,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Deceased,,,,
23/11/2018,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Deceased,,,,
3/12/2018,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Deceased,,,,
4/12/2018,Capricorn Coast,Farnborough Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
5/12/2018,Capricorn Coast,Cooee Bay,Bull Shark,Carcharhinus leucas,Deceased,,,,
5/12/2018,Capricorn Coast,Mullambin Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
11/12/2018,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
21/12/2018,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Deceased,,,,
26/12/2018,Capricorn Coast,Lammermoor Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
16/1/2019,Capricorn Coast,Mullambin Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
19/1/2019,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
23/1/2019,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Deceased,,,,
26/1/2019,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Deceased,,,,
10/2/2019,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
13/2/2019,Capricorn Coast,Mullambin Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
13/2/2019,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
20/2/2019,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
2/3/2019,Capricorn Coast,Mullambin Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
2/3/2019,Capricorn Coast,Mullambin Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
10/3/2019,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
12/3/2019,Capricorn Coast,Tanby Point,Bull Shark,Carcharhinus leucas,Deceased,,,,
23/3/2019,Capricorn Coast,Tanby Point,Bull Shark,Carcharhinus leucas,Deceased,,,,
18/4/2019,Capricorn Coast,Mullambin Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
20/4/2019,Capricorn Coast,Fishermans Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
20/4/2019,Capricorn Coast,Farnborough Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
27/4/2019,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Deceased,,,,
27/4/2019,Capricorn Coast,Emu Park,Bull Shark,Carcharhinus leucas,Deceased,,,,
29/4/2019,Capricorn Coast,Lammermoor Beach,Bull Shark,Carcharhinus leucas,Deceased,,,,
